category,category_url,subcats,files
SVG Wikimedia Foundation flags,https://commons.wikimedia.org/wiki/Category:SVG_Wikimedia_Foundation_flags,0,7
SVG flags of vexillology,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_vexillology,0,52
Wiki-movements flags,https://commons.wikimedia.org/wiki/Category:Wiki-movements_flags,0,8
SVG supersed flags,https://commons.wikimedia.org/wiki/Category:SVG_supersed_flags,1,0
SVG flags by aspect ratio by country,https://commons.wikimedia.org/wiki/Category:SVG_flags_by_aspect_ratio_by_country,6,0
SVG rectangular flags (horizontal) by aspect ratio,https://commons.wikimedia.org/wiki/Category:SVG_rectangular_flags_(horizontal)_by_aspect_ratio,28,0
SVG rectangular flags (vertical) by aspect ratio,https://commons.wikimedia.org/wiki/Category:SVG_rectangular_flags_(vertical)_by_aspect_ratio,9,0
SVG black flags,https://commons.wikimedia.org/wiki/Category:SVG_black_flags,0,24
SVG blue flags,https://commons.wikimedia.org/wiki/Category:SVG_blue_flags,0,130
SVG cyan flags,https://commons.wikimedia.org/wiki/Category:SVG_cyan_flags,0,30
SVG gray flags,https://commons.wikimedia.org/wiki/Category:SVG_gray_flags,0,17
SVG green flags,https://commons.wikimedia.org/wiki/Category:SVG_green_flags,0,89
SVG maroon flags,https://commons.wikimedia.org/wiki/Category:SVG_maroon_flags,0,18
SVG orange flags,https://commons.wikimedia.org/wiki/Category:SVG_orange_flags,0,19
SVG pink flags,https://commons.wikimedia.org/wiki/Category:SVG_pink_flags,0,5
SVG rainbow flags,https://commons.wikimedia.org/wiki/Category:SVG_rainbow_flags,3,165
SVG red flags,https://commons.wikimedia.org/wiki/Category:SVG_red_flags,0,111
SVG white flags,https://commons.wikimedia.org/wiki/Category:SVG_white_flags,0,124
SVG yellow flags,https://commons.wikimedia.org/wiki/Category:SVG_yellow_flags,0,41
SVG flags by former country,https://commons.wikimedia.org/wiki/Category:SVG_flags_by_former_country,3,0
SVG special or fictional flags by country,https://commons.wikimedia.org/wiki/Category:SVG_special_or_fictional_flags_by_country,4,0
SVG air force ensigns by country,https://commons.wikimedia.org/wiki/Category:SVG_air_force_ensigns_by_country,2,0
SVG government flags by country,https://commons.wikimedia.org/wiki/Category:SVG_government_flags_by_country,4,0
SVG historical flags by country,https://commons.wikimedia.org/wiki/Category:SVG_historical_flags_by_country,201,0
SVG military flags by country,https://commons.wikimedia.org/wiki/Category:SVG_military_flags_by_country,109,0
SVG flags of municipalities by country,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_municipalities_by_country,21,0
SVG naval flags by country,https://commons.wikimedia.org/wiki/Category:SVG_naval_flags_by_country,105,0
SVG flags of states with limited recognition,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_states_with_limited_recognition,11,6
SVG pennants by country,https://commons.wikimedia.org/wiki/Category:SVG_pennants_by_country,27,0
SVG political flags by country,https://commons.wikimedia.org/wiki/Category:SVG_political_flags_by_country,22,0
SVG presidential flags by country,https://commons.wikimedia.org/wiki/Category:SVG_presidential_flags_by_country,50,0
SVG royal standards by country,https://commons.wikimedia.org/wiki/Category:SVG_royal_standards_by_country,31,0
SVG yacht ensigns by country,https://commons.wikimedia.org/wiki/Category:SVG_yacht_ensigns_by_country,6,0
SVG flags of Afghanistan,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Afghanistan,3,18
SVG flags of Albania,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Albania,7,15
SVG flags of Algeria,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Algeria,6,13
SVG flags of Andorra,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Andorra,1,15
SVG flags of Angola,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Angola,5,5
SVG flags of Antigua and Barbuda,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Antigua_and_Barbuda,2,9
SVG flags of Argentina,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Argentina,10,8
SVG flags of Armenia,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Armenia,1,16
SVG flags of Australia,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Australia,5,104
SVG flags of Austria,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Austria,8,30
SVG flags of Azerbaijan,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Azerbaijan,8,15
SVG flags of the Bahamas,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_the_Bahamas,2,16
SVG flags of Bahrain,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Bahrain,4,11
SVG flags of Bangladesh,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Bangladesh,5,10
SVG flags of Barbados,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Barbados,3,10
SVG flags of Belarus,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Belarus,10,117
SVG flags of Belgium,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Belgium,10,45
SVG flags of Belize,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Belize,1,12
SVG flags of Benin,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Benin,1,4
SVG flags of Bhutan,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Bhutan,1,7
SVG flags of Bolivia,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Bolivia,5,12
SVG flags of Bosnia and Herzegovina,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Bosnia_and_Herzegovina,5,23
SVG flags of Botswana,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Botswana,2,8
SVG flags of Brazil,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Brazil,9,72
SVG flags of Brunei,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Brunei,4,4
SVG flags of Bulgaria,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Bulgaria,10,14
SVG flags of Burkina Faso,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Burkina_Faso,1,7
SVG flags of Burundi,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Burundi,2,9
SVG flags of Cambodia,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Cambodia,3,7
SVG flags of Cameroon,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Cameroon,1,6
SVG flags of Canada,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Canada,14,50
SVG flags of the Central African Republic,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_the_Central_African_Republic,1,8
SVG flags of Chad,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Chad,1,8
SVG flags of Chile,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_Chile,10,19
SVG flags of China,https://commons.wikimedia.org/wiki/Category:SVG_flags_of_China,12,15
